6424.450: [GC 6424.450: [ParNew: 1400158K->104657K(1415616K), 0.0639670 secs] 2620879K->1340103K(8231360K), 0.0643030 secs] [Times: user=0.57 sys=0.05, real=0.06 secs] 
6437.141: [GC 6437.142: [ParNew: 1363025K->111752K(1415616K), 0.0638700 secs] 2598471K->1362868K(8231360K), 0.0642060 secs] [Times: user=0.60 sys=0.03, real=0.06 secs] 
6447.141: [GC 6447.141: [ParNew: 1370120K->108912K(1415616K), 0.0627830 secs] 2621236K->1375744K(8231360K), 0.0631090 secs] [Times: user=0.59 sys=0.05, real=0.07 secs] 
6454.547: [GC 6454.548: [ParNew: 1367280K->114079K(1415616K), 0.0610310 secs] 2634112K->1396549K(8231360K), 0.0613530 secs] [Times: user=0.55 sys=0.04, real=0.06 secs] 
6461.717: [GC 6461.717: [ParNew: 1372447K->146896K(1415616K), 0.0292150 secs] 2654917K->1429366K(8231360K), 0.0295470 secs] [Times: user=0.46 sys=0.00, real=0.03 secs] 
6468.695: [GC 6468.695: [ParNew: 1405264K->150981K(1415616K), 0.0592990 secs] 2687734K->1448391K(8231360K), 0.0596650 secs] [Times: user=0.58 sys=0.05, real=0.06 secs] 
6474.732: [GC 6474.732: [ParNew: 1409349K->148740K(1415616K), 0.0569340 secs] 2706759K->1460088K(8231360K), 0.0572580 secs] [Times: user=0.60 sys=0.04, real=0.06 secs] 
6480.509: [GC 6480.509: [ParNew: 1407108K->131880K(1415616K), 0.0627990 secs] 2718456K->1458504K(8231360K), 0.0631210 secs] [Times: user=0.61 sys=0.04, real=0.06 secs] 
6485.953: [GC 6485.953: [ParNew: 1390248K->134888K(1415616K), 0.0593700 secs] 2716872K->1475970K(8231360K), 0.0596910 secs] [Times: user=0.55 sys=0.05, real=0.06 secs] 
6489.771: [GC 6489.772: [ParNew: 1393256K->148580K(1415616K), 0.0554600 secs] 2734338K->1502670K(8231360K), 0.0557750 secs] [Times: user=0.54 sys=0.04, real=0.05 secs] 
6493.332: [GC 6493.332: [ParNew: 1406948K->144687K(1415616K), 0.0554000 secs] 2761038K->1512517K(8231360K), 0.0557170 secs] [Times: user=0.55 sys=0.04, real=0.05 secs] 
6497.909: [GC 6497.909: [ParNew: 1403055K->118752K(1415616K), 0.0557500 secs] 2770885K->1500246K(8231360K), 0.0560870 secs] [Times: user=0.53 sys=0.05, real=0.06 secs] 
6502.567: [GC 6502.568: [ParNew: 1377120K->129240K(1415616K), 0.0532940 secs] 2758614K->1523700K(8231360K), 0.0536130 secs] [Times: user=0.54 sys=0.05, real=0.05 secs] 
6503.600: [GC 6503.600: [ParNew: 1387608K->138352K(1415616K), 0.0528800 secs] 2782068K->1545409K(8231360K), 0.0531790 secs] [Times: user=0.56 sys=0.04, real=0.06 secs] 
6504.966: [GC 6504.966: [ParNew: 1396720K->119836K(1415616K), 0.0956630 secs] 2803777K->1552021K(8231360K), 0.0960160 secs] [Times: user=0.63 sys=0.08, real=0.09 secs] 
6507.492: [GC 6507.492: [ParNew: 1378204K->108132K(1415616K), 0.0518000 secs] 2810389K->1552979K(8231360K), 0.0521200 secs] [Times: user=0.56 sys=0.04, real=0.06 secs] 
6510.327: [GC 6510.327: [ParNew: 1366500K->135089K(1415616K), 0.0632880 secs] 2811347K->1592644K(8231360K), 0.0636010 secs] [Times: user=0.69 sys=0.03, real=0.06 secs] 
