0.392: [GC 0.392: [ParNew: 1984K->320K(2304K), 0.0075019 secs] 1984K->524K(7616K), 0.0075748 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
38.475: [GC 38.475: [ParNew: 6722K->432K(7616K), 0.0008675 secs] 17219K->10929K(24732K), 0.0009189 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.481: [GC 38.481: [ParNew: 6935K->976K(7616K), 0.0015292 secs] 17431K->11472K(24732K), 0.0016238 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.487: [GC 38.487: [ParNew: 7498K->214K(7616K), 0.0020449 secs] 17994K->11379K(24732K), 0.0021270 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.493: [GC 38.493: [ParNew: 6728K->691K(7616K), 0.0010322 secs] 17894K->11857K(24732K), 0.0010930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.499: [GC 38.499: [ParNew: 7128K->334K(7616K), 0.0009076 secs] 18293K->11692K(24732K), 0.0009636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.507: [GC 38.507: [ParNew: 6793K->498K(7616K), 0.0010556 secs] 18151K->11855K(24732K), 0.0011192 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.515: [GC 38.515: [ParNew: 7026K->331K(7616K), 0.0012721 secs] 18383K->11688K(24732K), 0.0014823 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.523: [GC 38.523: [ParNew: 6857K->474K(7616K), 0.0012964 secs] 18215K->11831K(24732K), 0.0013887 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.530: [GC 38.530: [ParNew: 6901K->971K(7616K), 0.0011870 secs] 18259K->12329K(24732K), 0.0012558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.537: [GC 38.537: [ParNew: 7499K->325K(7616K), 0.0020947 secs] 18857K->12586K(24732K), 0.0021635 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.547: [GC 38.547: [ParNew: 6849K->362K(7616K), 0.0008737 secs] 19110K->12623K(24732K), 0.0009282 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.553: [GC 38.553: [ParNew: 6853K->585K(7616K), 0.0011659 secs] 19114K->12846K(24732K), 0.0012338 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.558: [GC 38.558: [ParNew: 7110K->716K(7616K), 0.0016024 secs] 19371K->13257K(24732K), 0.0016713 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.569: [GC 38.569: [ParNew: 7244K->204K(7616K), 0.0015086 secs] 19785K->13366K(24732K), 0.0015775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.574: [GC 38.574: [ParNew: 6718K->364K(7616K), 0.0010926 secs] 19880K->13526K(24732K), 0.0011655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.579: [GC 38.580: [ParNew: 6841K->534K(7616K), 0.0010434 secs] 20003K->13696K(24732K), 0.0011062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.585: [GC 38.585: [ParNew: 7036K->592K(7616K), 0.0012686 secs] 20198K->13754K(24732K), 0.0013454 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.590: [GC 38.590: [ParNew: 7075K->658K(7616K), 0.0018697 secs] 20237K->13995K(24732K), 0.0019623 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.596: [GC 38.596: [ParNew: 7164K->958K(7616K), 0.0014719 secs] 20501K->14424K(24732K), 0.0015439 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.603: [GC 38.603: [ParNew: 7473K->957K(7616K), 0.0020004 secs] 20939K->14891K(24732K), 0.0021026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.610: [GC 38.611: [ParNew: 7437K->150K(7616K), 0.0017694 secs] 21371K->14922K(24732K), 0.0018673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.616: [GC 38.616: [ParNew: 6647K->229K(7616K), 0.0011480 secs] 21418K->15000K(24732K), 0.0012163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.621: [GC 38.621: [ParNew: 6755K->259K(7616K), 0.0008561 secs] 21526K->15030K(24732K), 0.0009062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.627: [GC 38.627: [ParNew: 6744K->630K(7616K), 0.0012490 secs] 21515K->15401K(24732K), 0.0013399 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.636: [GC 38.636: [ParNew: 7149K->536K(7616K), 0.0012056 secs] 21920K->15420K(24732K), 0.0012987 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
38.642: [GC 38.642: [ParNew: 7054K->907K(7616K), 0.0012339 secs] 21938K->15791K(24732K), 0.0013025 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.648: [GC 38.648: [ParNew: 7398K->524K(7616K), 0.0014345 secs] 22282K->15807K(24732K), 0.0015074 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.656: [GC 38.656: [ParNew: 7034K->644K(7616K), 0.0010763 secs] 22317K->15927K(24732K), 0.0011502 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.662: [GC 38.662: [ParNew: 7114K->388K(7616K), 0.0015405 secs] 22397K->15918K(24732K), 0.0016051 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.668: [GC 38.668: [ParNew: 6904K->815K(7616K), 0.0012563 secs] 22435K->16345K(24732K), 0.0013219 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
38.673: [GC 38.673: [ParNew: 7331K->521K(7616K), 0.0014322 secs] 22861K->16365K(24732K), 0.0015121 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.679: [GC 38.679: [ParNew: 7047K->585K(7616K), 0.0014074 secs] 22892K->16430K(24732K), 0.0014675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.684: [GC 38.684: [ParNew: 7088K->604K(7616K), 0.0016016 secs] 22933K->16679K(24732K), 0.0016924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.690: [GC 38.690: [ParNew: 7103K->439K(7616K), 0.0018261 secs] 23178K->16719K(24732K), 0.0019129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.696: [GC 38.696: [ParNew: 6941K->425K(7616K), 0.0010538 secs] 23221K->16704K(24732K), 0.0011237 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.701: [GC 38.701: [ParNew: 6945K->559K(7616K), 0.0010928 secs] 23224K->16839K(24732K), 0.0011543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.706: [GC 38.706: [ParNew: 7010K->655K(7616K), 0.0012975 secs] 23290K->17033K(24732K), 0.0013630 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.711: [GC 38.712: [ParNew: 7176K->683K(7616K), 0.0014216 secs] 23554K->17306K(24732K), 0.0014893 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.717: [GC 38.717: [ParNew: 7210K->450K(7616K), 0.0011224 secs] 23833K->17228K(24732K), 0.0012223 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.722: [GC 38.723: [ParNew: 6958K->1058K(7616K), 0.0016078 secs] 23736K->17987K(24732K), 0.0016810 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.728: [GC 38.728: [ParNew: 7554K->90K(7616K), 0.0021253 secs]38.730: [Tenured: 17926K->9140K(18076K), 0.0710559 secs] 24482K->9140K(25692K), [Perm : 10706K->10706K(21248K)], 0.0739073 secs] [Times: user=0.07 sys=0.01, real=0.08 secs] 
38.811: [GC 38.811: [ParNew: 6528K->296K(7616K), 0.0010699 secs] 15668K->9436K(24732K), 0.0011431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.816: [GC 38.816: [ParNew: 6809K->243K(7616K), 0.0008041 secs] 15949K->9383K(24732K), 0.0008559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.821: [GC 38.822: [ParNew: 6765K->422K(7616K), 0.0008798 secs] 15906K->9562K(24732K), 0.0009327 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.827: [GC 38.827: [ParNew: 6941K->792K(7616K), 0.0011160 secs] 16081K->9933K(24732K), 0.0011821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.832: [GC 38.832: [ParNew: 7273K->951K(7616K), 0.0016492 secs] 16414K->10403K(24732K), 0.0017431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.839: [GC 38.839: [ParNew: 7455K->515K(7616K), 0.0010723 secs] 16907K->10285K(24732K), 0.0011515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.845: [GC 38.845: [ParNew: 7042K->933K(7616K), 0.0019758 secs] 16813K->10704K(24732K), 0.0020671 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.852: [GC 38.852: [ParNew: 7417K->610K(7616K), 0.0014964 secs] 17188K->10787K(24732K), 0.0015803 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.857: [GC 38.857: [ParNew: 7094K->179K(7616K), 0.0010996 secs] 17271K->10734K(24732K), 0.0011619 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.863: [GC 38.863: [ParNew: 6686K->574K(7616K), 0.0009848 secs] 17240K->11128K(24732K), 0.0010447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.868: [GC 38.868: [ParNew: 7095K->525K(7616K), 0.0010287 secs] 17649K->11207K(24732K), 0.0010929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.875: [GC 38.875: [ParNew: 7027K->1067K(7616K), 0.0013435 secs] 17709K->11749K(24732K), 0.0014435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.882: [GC 38.882: [ParNew: 7595K->228K(7616K), 0.0013354 secs] 18277K->11599K(24732K), 0.0014329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.891: [GC 38.891: [ParNew: 6741K->450K(7616K), 0.0011488 secs] 18112K->11821K(24732K), 0.0012284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.897: [GC 38.897: [ParNew: 6895K->822K(7616K), 0.0010864 secs] 18266K->12192K(24732K), 0.0011506 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.902: [GC 38.902: [ParNew: 7307K->621K(7616K), 0.0017793 secs] 18678K->12232K(24732K), 0.0018580 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.908: [GC 38.908: [ParNew: 7139K->412K(7616K), 0.0010698 secs] 18750K->12171K(24732K), 0.0011323 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.913: [GC 38.913: [ParNew: 6922K->289K(7616K), 0.0007587 secs] 18680K->12048K(24732K), 0.0008136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.917: [GC 38.917: [ParNew: 6810K->356K(7616K), 0.0010700 secs] 18568K->12114K(24732K), 0.0011263 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
38.923: [GC 38.923: [ParNew: 6881K->646K(7616K), 0.0012505 secs] 18639K->12405K(24732K), 0.0013160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.928: [GC 38.928: [ParNew: 7158K->541K(7616K), 0.0014102 secs] 18917K->12464K(24732K), 0.0014803 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
38.935: [GC 38.935: [ParNew: 7020K->830K(7616K), 0.0013730 secs] 18942K->12753K(24732K), 0.0014752 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.940: [GC 38.940: [ParNew: 7319K->345K(7616K), 0.0010739 secs] 19242K->12645K(24732K), 0.0011464 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.947: [GC 38.947: [ParNew: 6854K->529K(7616K), 0.0009502 secs] 19154K->12829K(24732K), 0.0010307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.952: [GC 38.952: [ParNew: 6989K->987K(7616K), 0.0017929 secs] 19288K->13438K(24732K), 0.0018632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.961: [GC 38.961: [ParNew: 7502K->495K(7616K), 0.0015162 secs] 19953K->13448K(24732K), 0.0015824 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.968: [GC 38.969: [ParNew: 7023K->504K(7616K), 0.0016038 secs] 19976K->13457K(24732K), 0.0017260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.975: [GC 38.975: [ParNew: 7032K->556K(7616K), 0.0017685 secs] 19985K->13508K(24732K), 0.0018445 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.981: [GC 38.981: [ParNew: 7082K->628K(7616K), 0.0012966 secs] 20034K->13825K(24732K), 0.0013646 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.986: [GC 38.986: [ParNew: 7138K->759K(7616K), 0.0015192 secs] 20336K->14179K(24732K), 0.0016124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.992: [GC 38.993: [ParNew: 7247K->437K(7616K), 0.0016456 secs] 20667K->14251K(24732K), 0.0017262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.998: [GC 38.998: [ParNew: 6945K->471K(7616K), 0.0009963 secs] 20760K->14285K(24732K), 0.0010574 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
39.004: [GC 39.004: [ParNew: 6995K->1073K(7616K), 0.0015865 secs] 20809K->15155K(24732K), 0.0016765 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.011: [GC 39.011: [ParNew: 7456K->208K(7616K), 0.0017523 secs] 21538K->15094K(24732K), 0.0018401 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.020: [GC 39.020: [ParNew: 6712K->558K(7616K), 0.0012111 secs] 21598K->15444K(24732K), 0.0012690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.026: [GC 39.026: [ParNew: 7082K->785K(7616K), 0.0013054 secs] 21967K->15803K(24732K), 0.0013762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.034: [GC 39.034: [ParNew: 7305K->931K(7616K), 0.0020163 secs] 22324K->16319K(24732K), 0.0020904 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.040: [GC 39.040: [ParNew: 7453K->154K(7616K), 0.0012741 secs] 22841K->16294K(24732K), 0.0013431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.045: [GC 39.045: [ParNew: 6618K->397K(7616K), 0.0012821 secs] 22759K->16537K(24732K), 0.0013582 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.050: [GC 39.051: [ParNew: 6920K->608K(7616K), 0.0012021 secs] 23060K->16748K(24732K), 0.0012641 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.057: [GC 39.057: [ParNew: 7128K->1022K(7616K), 0.0016279 secs] 23268K->17279K(24732K), 0.0017016 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
39.065: [GC 39.065: [ParNew: 7545K->380K(7616K), 0.0014547 secs]39.066: [Tenured: 17117K->8452K(17308K), 0.0723616 secs] 23801K->8452K(24924K), [Perm : 10706K->10706K(21248K)], 0.0741540 secs] [Times: user=0.07 sys=0.00, real=0.08 secs] 
39.143: [GC 39.143: [ParNew: 6507K->251K(7616K), 0.0007761 secs] 14959K->8704K(24732K), 0.0008343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.148: [GC 39.148: [ParNew: 6745K->327K(7616K), 0.0008943 secs] 15197K->8779K(24732K), 0.0009535 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.153: [GC 39.153: [ParNew: 6831K->414K(7616K), 0.0008881 secs] 15283K->8867K(24732K), 0.0009511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.158: [GC 39.158: [ParNew: 6942K->520K(7616K), 0.0011152 secs] 15395K->8972K(24732K), 0.0011761 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.164: [GC 39.164: [ParNew: 7023K->660K(7616K), 0.0009627 secs] 15476K->9113K(24732K), 0.0010169 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.169: [GC 39.169: [ParNew: 7163K->444K(7616K), 0.0010870 secs] 15615K->9065K(24732K), 0.0011459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.175: [GC 39.175: [ParNew: 6965K->475K(7616K), 0.0010056 secs] 15586K->9096K(24732K), 0.0010632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.180: [GC 39.180: [ParNew: 6959K->1005K(7616K), 0.0012186 secs] 15580K->9625K(24732K), 0.0012890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.185: [GC 39.185: [ParNew: 7493K->324K(7616K), 0.0021667 secs] 16114K->9827K(24732K), 0.0022404 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.192: [GC 39.192: [ParNew: 6845K->377K(7616K), 0.0012758 secs] 16348K->9880K(24732K), 0.0013480 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.197: [GC 39.197: [ParNew: 6887K->433K(7616K), 0.0009278 secs] 16390K->9937K(24732K), 0.0011267 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.203: [GC 39.203: [ParNew: 6910K->789K(7616K), 0.0010392 secs] 16413K->10292K(24732K), 0.0011722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.209: [GC 39.209: [ParNew: 7307K->315K(7616K), 0.0010150 secs] 16810K->10140K(24732K), 0.0010773 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.214: [GC 39.214: [ParNew: 6836K->588K(7616K), 0.0011038 secs] 16660K->10413K(24732K), 0.0011742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.219: [GC 39.219: [ParNew: 7101K->501K(7616K), 0.0009552 secs] 16926K->10391K(24732K), 0.0010198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.224: [GC 39.224: [ParNew: 7011K->437K(7616K), 0.0009078 secs] 16901K->10327K(24732K), 0.0009667 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.229: [GC 39.229: [ParNew: 6945K->545K(7616K), 0.0009718 secs] 16836K->10435K(24732K), 0.0010295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.234: [GC 39.234: [ParNew: 7006K->787K(7616K), 0.0012189 secs] 16897K->10677K(24732K), 0.0012903 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.240: [GC 39.240: [ParNew: 7281K->685K(7616K), 0.0013126 secs] 17171K->10781K(24732K), 0.0013825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.246: [GC 39.246: [ParNew: 7197K->806K(7616K), 0.0013083 secs] 17292K->11044K(24732K), 0.0013935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.252: [GC 39.252: [ParNew: 7324K->542K(7616K), 0.0013543 secs] 17562K->11134K(24732K), 0.0014243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.257: [GC 39.257: [ParNew: 7064K->620K(7616K), 0.0009981 secs] 17655K->11212K(24732K), 0.0010587 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.262: [GC 39.262: [ParNew: 7142K->618K(7616K), 0.0010978 secs] 17734K->11309K(24732K), 0.0011668 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.269: [GC 39.269: [ParNew: 7090K->534K(7616K), 0.0010713 secs] 17781K->11378K(24732K), 0.0011418 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.274: [GC 39.274: [ParNew: 7048K->548K(7616K), 0.0010019 secs] 17891K->11392K(24732K), 0.0010597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.280: [GC 39.280: [ParNew: 7069K->630K(7616K), 0.0015534 secs] 17912K->11562K(24732K), 0.0016268 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.285: [GC 39.285: [ParNew: 7156K->516K(7616K), 0.0015420 secs] 18088K->11570K(24732K), 0.0016081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.291: [GC 39.291: [ParNew: 7018K->865K(7616K), 0.0020239 secs] 18071K->11918K(24732K), 0.0021205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.297: [GC 39.298: [ParNew: 7348K->560K(7616K), 0.0015162 secs] 18401K->12221K(24732K), 0.0015963 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
39.303: [GC 39.303: [ParNew: 7074K->393K(7616K), 0.0020287 secs] 18734K->12529K(24732K), 0.0021158 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.309: [GC 39.309: [ParNew: 6888K->883K(7616K), 0.0012251 secs] 19024K->13019K(24732K), 0.0012926 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.316: [GC 39.316: [ParNew: 7401K->421K(7616K), 0.0014958 secs] 19537K->13310K(24732K), 0.0015930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.322: [GC 39.322: [ParNew: 6904K->482K(7616K), 0.0009734 secs] 19794K->13371K(24732K), 0.0010394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.327: [GC 39.327: [ParNew: 7006K->673K(7616K), 0.0011243 secs] 19895K->13562K(24732K), 0.0011872 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.333: [GC 39.333: [ParNew: 7181K->440K(7616K), 0.0013170 secs] 20071K->13676K(24732K), 0.0014076 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.339: [GC 39.339: [ParNew: 6917K->494K(7616K), 0.0009030 secs] 20152K->13730K(24732K), 0.0009643 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.344: [GC 39.344: [ParNew: 6984K->445K(7616K), 0.0010347 secs] 20220K->13680K(24732K), 0.0011085 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.350: [GC 39.351: [ParNew: 6944K->590K(7616K), 0.0013533 secs] 20179K->13826K(24732K), 0.0014405 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.356: [GC 39.356: [ParNew: 7064K->409K(7616K), 0.0011588 secs] 20299K->13775K(24732K), 0.0012235 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.361: [GC 39.361: [ParNew: 6926K->949K(7616K), 0.0014673 secs] 20293K->14476K(24732K), 0.0015372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.366: [GC 39.366: [ParNew: 7463K->245K(7616K), 0.0015408 secs] 20990K->14681K(24732K), 0.0016311 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.373: [GC 39.374: [ParNew: 6726K->957K(7616K), 0.0012346 secs] 21162K->15393K(24732K), 0.0013239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.380: [GC 39.380: [ParNew: 7435K->298K(7616K), 0.0015654 secs] 21871K->15624K(24732K), 0.0016419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.386: [GC 39.386: [ParNew: 6752K->624K(7616K), 0.0011858 secs] 22077K->15950K(24732K), 0.0012590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.393: [GC 39.393: [ParNew: 7121K->648K(7616K), 0.0014353 secs] 22447K->16203K(24732K), 0.0015335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.398: [GC 39.399: [ParNew: 7160K->252K(7616K), 0.0014147 secs] 22715K->16369K(24732K), 0.0014950 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.404: [GC 39.404: [ParNew: 6767K->362K(7616K), 0.0008960 secs] 22884K->16479K(24732K), 0.0009479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.409: [GC 39.409: [ParNew: 6860K->1075K(7616K), 0.0016415 secs] 22977K->17303K(24732K), 0.0017170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.416: [GC 39.416: [ParNew: 7594K->209K(7616K), 0.0014444 secs] 23822K->17287K(24732K), 0.0015203 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.422: [GC 39.422: [ParNew: 6673K->369K(7616K), 0.0008477 secs] 23751K->17446K(24732K), 0.0009327 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.428: [GC 39.428: [ParNew: 6780K->822K(7616K), 0.0015184 secs] 23858K->17900K(24732K), 0.0015869 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.435: [GC 39.435: [ParNew: 7344K->900K(7616K), 0.0023558 secs]39.437: [Tenured: 17118K->9083K(17308K), 0.0713115 secs] 24422K->9083K(24924K), [Perm : 10706K->10706K(21248K)], 0.0739320 secs] [Times: user=0.07 sys=0.01, real=0.08 secs] 
39.514: [GC 39.514: [ParNew: 6479K->680K(7616K), 0.0010275 secs] 15563K->9763K(24732K), 0.0010922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.520: [GC 39.520: [ParNew: 7147K->312K(7616K), 0.0012860 secs] 16231K->10014K(24732K), 0.0013538 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.525: [GC 39.525: [ParNew: 6744K->739K(7616K), 0.0011370 secs] 16447K->10442K(24732K), 0.0011999 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.531: [GC 39.531: [ParNew: 7210K->797K(7616K), 0.0012557 secs] 16912K->10751K(24732K), 0.0013234 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.540: [GC 39.540: [ParNew: 7317K->812K(7616K), 0.0013336 secs] 17271K->11053K(24732K), 0.0014029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.547: [GC 39.547: [ParNew: 7290K->597K(7616K), 0.0030253 secs] 17531K->11276K(24732K), 0.0031161 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.557: [GC 39.557: [ParNew: 7060K->643K(7616K), 0.0014116 secs] 17739K->11615K(24732K), 0.0014806 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.562: [GC 39.562: [ParNew: 7081K->502K(7616K), 0.0010926 secs] 18053K->11618K(24732K), 0.0011745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.568: [GC 39.568: [ParNew: 7030K->510K(7616K), 0.0012816 secs] 18146K->11627K(24732K), 0.0013444 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.573: [GC 39.573: [ParNew: 7028K->350K(7616K), 0.0008888 secs] 18144K->11466K(24732K), 0.0009413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.580: [GC 39.580: [ParNew: 6828K->499K(7616K), 0.0021632 secs] 17944K->11615K(24732K), 0.0022784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.589: [GC 39.589: [ParNew: 7021K->551K(7616K), 0.0008934 secs] 18138K->11667K(24732K), 0.0009694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.594: [GC 39.594: [ParNew: 7061K->524K(7616K), 0.0013212 secs] 18177K->11640K(24732K), 0.0014006 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.600: [GC 39.600: [ParNew: 7021K->1039K(7616K), 0.0013856 secs] 18138K->12155K(24732K), 0.0014786 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
39.606: [GC 39.606: [ParNew: 7520K->302K(7616K), 0.0015381 secs] 18636K->12243K(24732K), 0.0016230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.613: [GC 39.613: [ParNew: 6759K->693K(7616K), 0.0010576 secs] 18701K->12635K(24732K), 0.0011381 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
